1	1	673123	App\Models\Customer	hola1	text	2025-12-19 08:32:52
3	1	673123	App\Models\Customer	fasfasd	text	2025-12-19 08:42:08
4	1	673123	App\Models\Customer	como estás?	text	2025-12-19 08:44:05
5	1	673123	App\Models\Customer	fsdfsdf	text	2025-12-19 08:56:52
8	1	673123	App\Models\Customer	afasfasd	text	2025-12-19 09:17:54
18	1	673123	App\Models\Customer	como estás?	text	2025-12-19 09:40:57
57	1	673123	App\Models\Customer	hola	text	2025-12-19 18:13:28
301	1	673123	App\Models\Customer	400	text	2025-12-21 17:23:31
302	1	673123	App\Models\Customer	500	text	2025-12-21 17:23:47
304	1	673123	App\Models\Customer	Trigo	text	2025-12-21 17:33:43
305	1	673123	App\Models\Customer	Empanadas	text	2025-12-21 17:37:35
306	1	673123	App\Models\Customer	400	text	2025-12-21 17:42:48
307	1	673123	App\Models\Customer	400	text	2025-12-21 17:43:53
308	1	673123	App\Models\Customer	Hola	text	2025-12-21 17:49:50
311	1	673123	App\Models\Customer	400	text	2025-12-21 17:56:50
318	1	673123	App\Models\Customer	400	text	2025-12-21 18:37:26
324	1	673123	App\Models\Customer	1000	text	2025-12-21 19:05:43
325	1	673123	App\Models\Customer	1000	text	2025-12-21 19:12:08
326	1	673123	App\Models\Customer	1000	text	2025-12-21 19:28:15
327	1	673123	App\Models\Customer	1000	text	2025-12-21 19:35:00
328	1	673123	App\Models\Customer	1000	text	2025-12-21 19:37:49
331	1	673123	App\Models\Customer	1000	text	2025-12-21 19:55:25
332	1	673123	App\Models\Customer	1000	text	2025-12-21 19:55:50
334	1	673123	App\Models\Customer	1000	text	2025-12-21 20:01:38
363	1	673123	App\Models\Customer	A mano	text	2025-12-22 05:57:20
364	1	673123	App\Models\Customer	A mano	text	2025-12-22 06:09:09
476	1	673123	App\Models\Customer	hola	text	2025-12-23 10:18:46
477	1	673123	App\Models\Customer	Hola	text	2025-12-23 10:47:55
9	4	673550	App\Models\Customer	Voy a empezar	text	2025-12-19 09:20:26
